Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS 1,Chrome 122.0.0.0,,,21-02-2024 21:40:07,21-02-2024 21:40:34,27.152s,PASSED
,,,,,,,
Test Cases/TC1 Appointment,Chrome 122.0.0.0,,,21-02-2024 21:40:07,21-02-2024 21:40:20,13.015s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,21-02-2024 21:40:08,21-02-2024 21:40:12,4.236s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 122.0.0.0,,,21-02-2024 21:40:12,21-02-2024 21:40:19,6.591s,PASSED
"click(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 122.0.0.0,,,21-02-2024 21:40:19,21-02-2024 21:40:20,1.480s,PASSED
,,,,,,,
Test Cases/TC2 Login - Keyword,Chrome 122.0.0.0,,,21-02-2024 21:40:20,21-02-2024 21:40:23,2.844s,PASSED
"setText(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 122.0.0.0,,,21-02-2024 21:40:21,21-02-2024 21:40:22,1.103s,PASSED
"setText(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Chrome 122.0.0.0,,,21-02-2024 21:40:22,21-02-2024 21:40:23,1.068s,PASSED
,,,,,,,
Test Cases/TC3 Login,Chrome 122.0.0.0,,,21-02-2024 21:40:23,21-02-2024 21:40:25,1.680s,PASSED
"click(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/button_Login""))",Chrome 122.0.0.0,,,21-02-2024 21:40:24,21-02-2024 21:40:25,1.295s,PASSED
,,,,,,,
Test Cases/TC4 Make Appointment - Keyword,Chrome 122.0.0.0,,,21-02-2024 21:40:25,21-02-2024 21:40:32,7.164s,PASSED
"selectAllOption(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center                            Hongkong CURA Healthcare Center                            Seoul CURA Healthcare Center""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,21-02-2024 21:40:25,21-02-2024 21:40:28,3.373s,PASSED
"check(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 122.0.0.0,,,21-02-2024 21:40:28,21-02-2024 21:40:29,0.842s,PASSED
"check(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 122.0.0.0,,,21-02-2024 21:40:29,21-02-2024 21:40:30,0.595s,PASSED
"setText(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""), ""22-02-2024"")",Chrome 122.0.0.0,,,21-02-2024 21:40:30,21-02-2024 21:40:31,1.082s,PASSED
"setText(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Hallo"")",Chrome 122.0.0.0,,,21-02-2024 21:40:31,21-02-2024 21:40:32,0.970s,PASSED
,,,,,,,
Test Cases/TC5 Book Appointment,Chrome 122.0.0.0,,,21-02-2024 21:40:32,21-02-2024 21:40:34,1.806s,PASSED
"click(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 122.0.0.0,,,21-02-2024 21:40:32,21-02-2024 21:40:34,1.529s,PASSED
