Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS 1,Chrome 122.0.0.0,,,21-02-2024 23:47:20,21-02-2024 23:47:42,22.609s,PASSED
,,,,,,,
Test Cases/TC1 Appointment,Chrome 122.0.0.0,,"appointment, web",21-02-2024 23:47:20,21-02-2024 23:47:30,10.481s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,21-02-2024 23:47:20,21-02-2024 23:47:23,2.495s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 122.0.0.0,,,21-02-2024 23:47:23,21-02-2024 23:47:28,5.601s,PASSED
"click(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 122.0.0.0,,,21-02-2024 23:47:28,21-02-2024 23:47:30,1.955s,PASSED
,,,,,,,
Test Cases/TC2 Login - Keyword,Chrome 122.0.0.0,,"login, daily",21-02-2024 23:47:30,21-02-2024 23:47:33,2.198s,PASSED
"setText(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 122.0.0.0,,,21-02-2024 23:47:30,21-02-2024 23:47:31,0.864s,PASSED
"setText(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Chrome 122.0.0.0,,,21-02-2024 23:47:31,21-02-2024 23:47:33,1.165s,PASSED
,,,,,,,
Test Cases/TC3 Login,Chrome 122.0.0.0,,"login, daily",21-02-2024 23:47:33,21-02-2024 23:47:34,1.692s,PASSED
"click(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/button_Login""))",Chrome 122.0.0.0,,,21-02-2024 23:47:33,21-02-2024 23:47:34,1.560s,PASSED
,,,,,,,
Test Cases/TC4 Make Appointment - Keyword,Chrome 122.0.0.0,,appointment,21-02-2024 23:47:34,21-02-2024 23:47:40,5.683s,PASSED
"selectAllOption(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center                            Hongkong CURA Healthcare Center                            Seoul CURA Healthcare Center""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,21-02-2024 23:47:34,21-02-2024 23:47:37,2.785s,PASSED
"check(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 122.0.0.0,,,21-02-2024 23:47:37,21-02-2024 23:47:38,0.508s,PASSED
"check(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 122.0.0.0,,,21-02-2024 23:47:38,21-02-2024 23:47:38,0.452s,PASSED
"setText(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""), ""22-02-2024"")",Chrome 122.0.0.0,,,21-02-2024 23:47:38,21-02-2024 23:47:39,0.849s,PASSED
"setText(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Hallo"")",Chrome 122.0.0.0,,,21-02-2024 23:47:39,21-02-2024 23:47:40,0.942s,PASSED
,,,,,,,
Test Cases/TC5 Book Appointment,Chrome 122.0.0.0,,appointment,21-02-2024 23:47:40,21-02-2024 23:47:42,2.216s,PASSED
"click(findTestObject(""Object Repository/Appointment/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 122.0.0.0,,,21-02-2024 23:47:40,21-02-2024 23:47:42,2.054s,PASSED
